"SampleID","WaterbodyID","InletOrOutlet","UorV","SamplingDate","Time","WaterTemperature_C","Air_Temperature_C","Pressure_Bar","pH","O2_pct","O2_mg_l","EC_us_cm","Chla","Alkalinitet_mekv_l","Kond_ms_m_25_C","PO4_P_filtr_mg_l","PO4_P_QC","TotP_mg_l","Tot_P_filtr_mg_l","NH4_N_mg_l","NO2_NO3_N_mg_l","TOC_mg_l","Tot_N_mg_l","Susp_mg_l","Dissolved_CH4_mg_L","Dissolved_N2O_ug_L","Methanotrophs_water_sample","Methanotrophs_sediment_sample","Methanogens_water_sample","Methanogens_sediment_sample"
447,14,"Outlet",,2023-8-23 00:00:00,"14:47",21.10,20.67,1.01,8.63,42.40,3.77,660.00,8.00,2.31,57.00,2.0e-03,"<0,004",0.07,0.02,0.02,,24.50,1.76,15.00,,,,,,
446,14,"Inlet",,2023-8-23 00:00:00,"14:26",18.17,20.67,1.01,8.29,70.10,6.62,656.00,9.00,2.24,58.10,2.0e-03,"<0,004",0.05,0.02,0.01,,21.80,1.60,6.00,,,,,,
445,17,"Outlet",,2023-8-23 00:00:00,"12:33",16.25,19.48,1.01,7.90,7.10,0.70,401.00,42.00,1.53,30.60,0.07,,0.26,0.11,0.06,,19.70,1.39,29.00,,,,,,
444,17,"Inlet",,2023-8-23 00:00:00,"12:14",13.71,19.48,1.01,7.78,31.90,3.31,970.00,2.00,1.39,85.30,2.0e-03,"<0,004",0.01,4.0e-03,0.02,2.47,7.30,2.83,8.00,,,,,,
443,6,"Outlet",,2023-8-23 00:00:00,"10:41",13.35,16.08,1.01,8.13,33.50,3.51,435.00,4.00,2.92,51.00,0.03,,0.06,0.03,0.05,1.87,7.60,2.22,13.00,,,,,,
442,6,"Inlet",,2023-8-23 00:00:00,"10:21",13.03,16.08,1.01,7.98,67.30,7.09,572.00,2.00,2.92,50.50,0.02,,0.05,0.03,0.01,2.42,7.10,2.70,8.00,,,,,,
441,20,"Outlet",,2023-8-22 00:00:00,"16:09",16.27,18.37,1.01,8.31,23.40,2.30,488.00,4.00,3.23,41.90,0.03,,0.07,0.04,0.02,,11.20,0.55,17.00,,,,,,
440,20,"Inlet",,2023-8-22 00:00:00,"15:56",15.68,18.37,1.01,8.79,70.40,7.01,491.00,11.00,3.33,43.20,0.01,,0.04,0.02,0.01,0.23,10.80,0.81,33.00,,,,,,
439,22,"Outlet",,2023-8-22 00:00:00,"15:01",14.17,19.32,1.01,8.26,51.00,5.24,254.00,7.00,2.25,26.80,0.09,,0.20,0.11,0.02,1.42,16.60,2.14,34.00,,,,,,
438,22,"Inlet",,2023-8-22 00:00:00,"14:55",13.91,19.32,1.01,8.29,63.80,6.59,307.00,6.00,2.25,26.80,0.08,,0.19,0.11,0.01,1.46,16.40,2.16,29.00,,,,,,
